gameId,platformId,gameCreation,gameDuration,queueId,mapId,seasonId,gameVersion,gameMode,gameType,banned1.championId,banned2.championId,banned3.championId,banned4.championId,banned5.championId,banned6.championId,banned7.championId,banned8.championId,banned9.championId,banned10.championId,participant1.teamId,participant1.championId,participant1.spell1Id,participant1.spell2Id,participant2.teamId,participant2.championId,participant2.spell1Id,participant2.spell2Id,participant3.teamId,participant3.championId,participant3.spell1Id,participant3.spell2Id,participant4.teamId,participant4.championId,participant4.spell1Id,participant4.spell2Id,participant5.teamId,participant5.championId,participant5.spell1Id,participant5.spell2Id,participant6.teamId,participant6.championId,participant6.spell1Id,participant6.spell2Id,participant7.teamId,participant7.championId,participant7.spell1Id,participant7.spell2Id,participant8.teamId,participant8.championId,participant8.spell1Id,participant8.spell2Id,participant9.teamId,participant9.championId,participant9.spell1Id,participant9.spell2Id,participant10.teamId,participant10.championId,participant10.spell1Id,participant10.spell2Id,participant1.player.platformId,participant1.player.summonerName,participant1.player.currentPlatformId,participant1.player.profileIcon,participant2.player.platformId,participant2.player.summonerName,participant2.player.currentPlatformId,participant2.player.profileIcon,participant3.player.platformId,participant3.player.summonerName,participant3.player.currentPlatformId,participant3.player.profileIcon,participant4.player.platformId,participant4.player.summonerName,participant4.player.currentPlatformId,participant4.player.profileIcon,participant5.player.platformId,participant5.player.summonerName,participant5.player.currentPlatformId,participant5.player.profileIcon,participant6.player.platformId,participant6.player.summonerName,participant6.player.currentPlatformId,participant6.player.profileIcon,participant7.player.platformId,participant7.player.summonerName,participant7.player.currentPlatformId,participant7.player.profileIcon,participant8.player.platformId,participant8.player.summonerName,participant8.player.currentPlatformId,participant8.player.profileIcon,participant9.player.platformId,participant9.player.summonerName,participant9.player.currentPlatformId,participant9.player.profileIcon,participant10.player.platformId,participant10.player.summonerName,participant10.player.currentPlatformId,participant10.player.profileIcon,participant1.championSpecificWinRate,participant2.championSpecificWinRate,participant3.championSpecificWinRate,participant4.championSpecificWinRate,participant5.championSpecificWinRate,participant6.championSpecificWinRate,participant7.championSpecificWinRate,participant8.championSpecificWinRate,participant9.championSpecificWinRate,participant10.championSpecificWinRate,winner
3685138532,NA1,1606680213053,1533,420,11,13,10.24.345.8390,CLASSIC,MATCHED_GAME,119,112,120,360,147,30,119,360,134,89,100,202,7,4,100,875,4,12,100,111,14,4,100,76,4,11,100,246,4,14,200,117,4,14,200,96,4,7,200,84,14,12,200,104,4,11,200,236,4,3,NA1,Asyc,NA1,3902,NA1,mrmoptop3,NA1,4304,NA1,UnIess,NA1,3157,NA1,JungIe is weak,NA1,1588,NA1,DARK WlNGS,NA1,4802,NA1,Shorthop,NA1,4797,NA1,Valley of Repose,NA1,16,NA1,Rookie Laner,NA1,29,NA1,YyyQAQ,NA1,4797,NA1,Restrainedˉ,NA1,3221,0.4,0.6666666666666666,1.0,0.3333333333333333,0.5,0.0,0.0,0.8571428571428571,0.5483870967741935,0.5,1
3685085404,NA1,1606677748788,1458,420,11,13,10.24.345.8390,CLASSIC,MATCHED_GAME,134,141,120,20,202,35,876,104,164,-1,100,10,12,4,100,50,4,3,100,28,4,11,100,236,4,12,100,89,4,14,200,360,7,4,200,30,11,4,200,57,4,14,200,86,12,4,200,69,3,4,NA1,Gamsuni,NA1,23,NA1,ELO TERRORIST DK,NA1,4490,NA1,Extreme Person,NA1,519,NA1,Restrainedˉ,NA1,3221,NA1,Pockus,NA1,4613,NA1,Asyc,NA1,3902,NA1,checks pIay,NA1,26,NA1,Dog Team Woof,NA1,4426,NA1,kevinlol120,NA1,3381,NA1,100 Tanners,NA1,542,0.0,0.5,0.5,0.5,0.45454545454545453,0.625,0.5686274509803921,0.6,0.6666666666666666,0.0,1
3676584560,NA1,1606156817646,1221,420,11,13,10.23.343.2581,CLASSIC,MATCHED_GAME,72,32,157,122,80,164,35,3,80,141,100,58,4,12,100,41,4,12,100,497,14,4,100,20,4,11,100,145,1,4,200,98,4,14,200,54,4,12,200,202,4,7,200,120,6,11,200,4,12,4,NA1,Restrainedˉ,NA1,3221,NA1,uforgjengelig,NA1,29,NA1,Apple Pie 78,NA1,4655,EUN1,Icelandic Hero,NA1,4655,NA1,ps 01,NA1,3568,NA1,Dog Team Woof,NA1,4426,NA1,Mérthos,NA1,4815,NA1,Nhavilay,NA1,4655,NA1,twtv concept,NA1,636,NA1,KGBˉ,NA1,7,1.0,0.4,0.42857142857142855,0.5,1.0,1.0,1.0,0.5,0.5,0.5789473684210527,0
3675195567,NA1,1606077497486,1620,420,11,13,10.23.343.2581,CLASSIC,MATCHED_GAME,121,122,147,360,141,32,119,360,7,54,100,21,7,4,100,63,4,14,100,164,4,12,100,25,12,4,100,120,6,11,200,91,14,4,200,202,7,4,200,48,4,11,200,43,4,14,200,82,4,12,NA1,TEAMLUKEE,NA1,3160,NA1,fragas1,NA1,4782,NA1,Restrainedˉ,NA1,3221,NA1,gr1mmz 2 handsom,NA1,23,NA1,10211471254966,NA1,3152,NA1,Ausomo,NA1,1591,NA1,rjsdndgod,NA1,1341,NA1,Guo Dòng,NA1,4769,NA1,shaneylove,NA1,4453,NA1,twtv concept,NA1,636,0.5,0.5882352941176471,0.6,0.75,0.5,0.625,0.75,0.5,1.0,0.0,0
3675142536,NA1,1606075571785,1137,420,11,13,10.23.343.2581,CLASSIC,MATCHED_GAME,202,104,85,236,1,35,141,122,114,360,100,98,4,12,100,429,7,4,100,412,4,14,100,2,6,14,100,60,4,11,200,25,4,14,200,131,14,4,200,32,4,11,200,58,4,12,200,21,7,4,NA1,Øraces,NA1,4780,NA1,Shøryu,NA1,2088,TR1,Moose On Crack,NA1,17,NA1,Guo Dòng,NA1,4769,NA1,fragas1,NA1,4782,NA1,i am nice guy ,NA1,4568,NA1,gr1mmz 2 handsom,NA1,23,NA1,JungIe is weak,NA1,1588,NA1,Restrainedˉ,NA1,3221,NA1,TEAMLUKEE,NA1,3160,0.5,1.0,0.5,0.6,1.0,0.5,0.4576271186440678,0.5,0.75,0.5,1
3656191142,NA1,1604990595144,2325,420,11,13,10.22.341.643,CLASSIC,MATCHED_GAME,104,114,120,777,432,24,360,141,157,114,100,876,4,11,100,81,7,4,100,266,12,4,100,89,14,4,100,163,4,14,200,59,3,4,200,122,6,4,200,80,4,14,200,84,14,4,200,76,4,11,NA1,Doubtfull,NA1,936,NA1,KaNKl,NA1,4763,NA1,Dãnny,NA1,4248,NA1,100 Breezyyy,NA1,29,NA1,Gabyyz,NA1,4785,NA1,Shiphtur,NA1,4089,NA1,TheZura,NA1,539,NA1,Srkenji,NA1,1298,NA1,Tuesdayy,NA1,4779,NA1,SofM1,NA1,4779,0.5714285714285714,0.625,0.575,0.5833333333333334,0.38095238095238093,0.6666666666666666,0.375,0.2857142857142857,0.7142857142857143,0.5,0
3653872761,NA1,1604875419968,1212,420,11,13,10.22.341.643,CLASSIC,MATCHED_GAME,202,121,360,164,157,104,98,9,164,360,100,81,7,4,100,12,4,14,100,497,12,4,100,876,11,4,100,245,14,4,200,54,14,11,200,27,6,12,200,80,4,14,200,145,7,4,200,147,4,6,NA1,KaNKl,NA1,4763,EUW1,Sybr,NA1,4769,NA1,SkyTec,NA1,4700,NA1,Guccí Crown,NA1,4070,NA1,Shiphtur,NA1,4089,NA1,jinx gf,NA1,1388,NA1,HighThunderBolt,NA1,4022,NA1,Smoothie,NA1,4568,NA1,KEITH EXOTIC,NA1,29,NA1,Kami no Tou,NA1,4803,0.625,0.5,0.7096774193548387,0.625,0.7777777777777778,0.6,0.0,0.625,0.5,0.3333333333333333,0
3653800351,NA1,1604870571502,1388,420,11,13,10.22.341.643,CLASSIC,MATCHED_GAME,80,104,555,9,30,30,24,141,360,104,100,58,4,12,100,245,11,4,100,18,7,4,100,16,4,3,100,81,7,4,200,157,4,14,200,427,11,4,200,164,12,4,200,111,14,4,200,202,7,4,NA1,0618,NA1,909,NA1,TACOTUESDAY99,NA1,539,NA1,kennyHYPERBRUH,NA1,4570,NA1,Magı,NA1,4657,NA1,KaNKl,NA1,4763,LA2,IIIIIlIIIIIIIlII,NA1,23,NA1,jamican banana,NA1,4777,NA1,roguebunny0,NA1,4154,EUW1,slogan1,NA1,3838,NA1,failure adc,NA1,4783,0.625,0.0,0.7777777777777778,0.5833333333333334,0.5714285714285714,0.5,0.5972222222222222,0.6190476190476191,0.5,0.6666666666666666,0
3653695336,NA1,1604868459700,1224,420,11,13,10.22.341.643,CLASSIC,MATCHED_GAME,121,157,427,497,119,360,517,104,114,80,100,120,11,6,100,240,14,4,100,8,6,4,100,145,4,7,100,555,4,14,200,777,14,4,200,16,4,3,200,9,11,4,200,54,4,12,200,21,4,7,EUN1,fady,NA1,513,NA1,zzoboL,NA1,4660,NA1,kennyHYPERBRUH,NA1,4570,NA1,Acilion,NA1,4657,NA1,Skyfires,NA1,4535,NA1,Tuesdayy,NA1,4779,NA1,Magı,NA1,4657,NA1,goo chall fast,NA1,4779,NA1,KaNKl,NA1,4763,NA1,saving na,NA1,4211,0.5,1.0,0.6666666666666666,0.25,0.6,0.0,0.5833333333333334,0.6428571428571429,0.5,0.0,1
3648666619,NA1,1604563073004,1517,420,11,13,10.22.341.643,CLASSIC,MATCHED_GAME,85,360,107,1,203,360,236,38,24,235,100,89,4,14,100,28,4,11,100,126,4,12,100,81,4,7,100,13,12,4,200,104,4,11,200,68,4,12,200,202,7,4,200,91,14,4,200,25,4,14,NA1,kingamazin,NA1,4795,NA1,FaZe Top 100,NA1,4318,NA1,NILES 1V9 ,NA1,4710,OC1,ADCADC123,NA1,4216,NA1,Zìkz,NA1,4626,NA1,haru dad,NA1,4568,NA1,Brandini,NA1,4696,NA1,Soju,NA1,4428,NA1,Ràsberry,NA1,12,NA1,Taco,NA1,4749,0.5,0.5714285714285714,0.6666666666666666,0.5,0.5,1.0,0.5,0.631578947368421,0.75,0.5,1
